code;name;total_rooms;used_rooms;amount_employees;technical_or_high_school
53009401;EC 102 DO RECANTO DAS EMAS;8;8;56;false
53009410;CEF 01 DO LAGO NORTE;16;16;79;false
53009428;COL COC LAGO NORTE;32;20;50;false
53009436;EC VARJAO;23;22;112;false
53009444;EC OLHOS DAGUA;4;4;18;false
53009452;INST NATURAL DE DESENV INF - INDI;24;24;98;false
53009460;CED VARGEM BONITA;16;12;70;false
53009479;CED DO LAGO;13;13;55;false
53009495;COL MARIA IMACULADA;18;18;65;false
53009525;EC 01 SHI-SUL;11;11;43;false
53009533;EC JARDIM BOTANICO;8;8;42;false
53009541;ESC DAS NACOES;61;61;225;false
53010450;CE EBENEZER;34;23;88;false
53010507;CED RENASCENCA;23;20;56;false
53010515;COL CENEB KIDS;12;11;27;false
53010558;COL EVOLUCAO;5;5;10;false
53010604;CEAP - CED APRENDIZ;8;8;23;false
53010612;ESC DE EDUC INF ALZIRO ZARUR;6;6;35;false
53010620;INST TECNICO DE EDUC DE BRASILIA - SOBRADINHO II;10;10;54;false
53010639;CED LUMNI;14;14;49;false
53010671;ESC INF RAIO DE SOL;4;4;3;false
53010728;ESC PRESBITERIANA DO GAMA;21;21;69;false
53010744;CEE 01 DO GUARA;20;20;146;false
53010752;CEE 01 DO GAMA;33;33;175;false
53010760;COL ESPU;24;15;57;false
53010841;ESC CEPROM;13;13;26;false
53010655;ESCOLINHA E RECREACAO MUNDO INF;0;0;0;false
53001125;CED OBJETIVO SP-B;0;0;0;false
53083016;COL MAANAIM;9;9;38;false
53084012;CE SITIO ENCANTADO;10;7;17;false
53084020;ESC PEQUENO ENCANTO;12;12;18;false
53084039;COL ANCHIETA;30;5;76;false
53084055;COL MAPA;17;14;43;false
53086007;CED VITORIA REGIA;8;7;23;false
53087011;INST MAUA;30;5;16;false
53015967;COL EVEREST BRASILIA;20;20;149;false
53015975;CEPI IPE-ROSA;9;9;38;false
53015983;CEPI IPE-ROXO;9;9;39;false
53015991;CED PROJECAO GUARA II;35;35;39;false
53016009;CEPI IPE-BRANCO;8;8;31;false
53016041;EP ANISIO TEIXEIRA;39;26;80;false
53016106;COL VITORIA - SANTA MARIA;9;9;25;false
53084004;COL UNIC;0;0;0;false
53011538;CR VOVO DIVINA;0;0;0;false
53012232;COL UNISABER SUL;0;0;0;false
53012003;CEF 02 DO PARANOA;17;17;111;false
53012011;CED CONDOMINIO ESTANCIA III;15;15;119;false
53012038;CEF 07 DE SOBRADINHO;15;15;129;false
53010094;ESCOLINHA O GIRASSOL ENCANTADO;0;0;0;false
53088000;CEUBRAS;3;3;16;false
53000013;ASSOC DE MAES PAIS AMIGOS REABILITADORES DE EXCEP - AMPARE;16;7;41;false
