code;name;total_rooms;used_rooms;amount_employees
53011805;COL PALOMA;19.0;18.0;47.0
53011821;CE PIAGET;20.0;16.0;40.0
53011830;CED EXPOENTE;14.0;14.0;42.0
53011872;CE CANDANGUINHO - CECAN;46.0;46.0;282.0
53011880;COL TRIANGULO;15.0;15.0;38.0
53011899;INEB - INST EDUCACIONAL DE BRASILIA;18.0;14.0;40.0
53011902;ESC JARDIM DO EDEN;24.0;24.0;66.0
53011929;CED PARQUE ENCANTADO;20.0;13.0;69.0
53011970;ESC CLUBE DA CRIANCA;21.0;21.0;45.0
53011988;CED SAO JOSE;18.0;18.0;123.0
53011996;CEM 414 DE SAMAMBAIA;18.0;18.0;116.0
53008596;EC 05 DO GUARA;11.0;11.0;54.0
53008618;EC 07 DO GUARA;14.0;14.0;85.0
53008626;EC DO SRIA;5.0;5.0;30.0
53008634;ESC ADVENTISTA DO GUARA;9.0;9.0;42.0
53008669;JI A PANTERINHA;3.0;3.0;5.0
53008685;ESC PEDACINHO DO CEU;20.0;20.0;122.0
53008707;JI LUCIO COSTA;5.0;5.0;37.0
53008774;CEF 01 DO CRUZEIRO;19.0;19.0;83.0
53012704;C DE CONVIVENCIA E EDUC INF NOSSA SENHORA DO CARMO;12.0;12.0;59.0
53012720;CEM 02 DE BRAZLANDIA;18.0;18.0;94.0
53012739;EC REINO DAS FLORES;3.0;3.0;25.0
53012747;CEF ARAPOANGA;15.0;15.0;96.0
53012755;CEI AFMA;14.0;14.0;35.0
53012763;INSTITUICAO EDUCACIONAL SANTA LUZIA;13.0;13.0;68.0
53009363;CEF 115 DO RECANTO DAS EMAS;16.0;16.0;72.0
53009380;CED CASA GRANDE;9.0;9.0;92.0
53009398;EC CORREGO BARREIRO;5.0;5.0;34.0
53009401;EC 102 DO RECANTO DAS EMAS;8.0;8.0;56.0
53009410;CEF 01 DO LAGO NORTE;16.0;16.0;79.0
53009428;COL COC LAGO NORTE;32.0;20.0;50.0
53009436;EC VARJAO;23.0;22.0;112.0
53009444;EC OLHOS DAGUA;4.0;4.0;18.0
53009452;INST NATURAL DE DESENV INF - INDI;24.0;24.0;98.0
53009460;CED VARGEM BONITA;16.0;12.0;70.0
53009479;CED DO LAGO;13.0;13.0;55.0
53009495;COL MARIA IMACULADA;18.0;18.0;65.0
53009525;EC 01 SHI-SUL;11.0;11.0;43.0
53009533;EC JARDIM BOTANICO;8.0;8.0;42.0
